360手机助手,工具,100084,272256995,272063778,193217,276024.2857,2018/1/7
人民日报,阅读,101273,68160515,68145349,15166,21665.71429,2018/1/7
风行视频,视频,101594,92485869,92450347,35522,50745.71429,2018/1/7
作业帮,教育学习,1027306,73288688,71882793,1405895,2008421.429,2018/1/7
高德地图,出行,1038,460616069,457455457,3160612,4515160,2018/1/7
手电筒,工具,1066354,104743565,104728940,14625,20892.85714,2018/1/7
美团,便捷生活,1068,314257445,312871143,1386302,1980431.429,2018/1/7
QQ浏览器,系统,1079,438439689,436639418,1800271,2571815.714,2018/1/7
阿里星球,视频,1088,330096415,330087846,8569,12241.42857,2018/1/7
铃声多多,视频,111237,205747969,205136245,611724,873891.4286,2018/1/7
掌阅iReader,阅读,1152,172710533,172464000,246533,352190,2018/1/7
讯飞输入法,社交,1167,339955080,338734791,1220289,1743270,2018/1/7
百度视频,视频,12272,164767125,164684080,83045,118635.7143,2018/1/7
Flipboard,阅读,123565,113117247,112950069,167178,238825.7143,2018/1/7
唱吧,视频,125088,110037732,109945626,92106,131580,2018/1/7
今日头条,视频,141843,333100197,329582831,3517366,5024808.571,2018/1/7
墨迹天气,工具,1433,421840953,420748138,1092815,1561164.286,2018/1/7
鲁大师,系统,147287,94575817,93967270,608547,869352.8571,2018/1/7
三星打印服务插件,系统,1557729,114341096,114158147,182949,261355.7143,2018/1/7
360省电王,系统,1569,197118122,197052515,65607,93724.28571,2018/1/7
搜狐视频,视频,1586,233092796,232681089,411707,588152.8571,2018/1/7
手机京东,育儿母婴,1588,164890919,163612463,1278456,1826365.714,2018/1/7
开心消消乐,游戏,1625930,415150964,413671905,1479059,2112941.429,2018/1/7
酷我音乐,视频,1656,405842956,404525818,1317138,1881625.714,2018/1/7
360清理大师,系统,1781604,185751913,183616336,2135577,3050824.286,2018/1/7
搜狐新闻,阅读,1849,97069994,96849916,220078,314397.1429,2018/1/7
滴滴出行,出行,185732,149671371,148728595,942776,1346822.857,2018/1/7
平安普惠,理财,1937214,17379002,16355311,1023691,1462415.714,2018/1/7
支付宝,理财,1939,678675259,675025586,3649673,5213818.571,2018/1/7
腾讯新闻,阅读,19467,314794531,313582090,1212441,1732058.571,2018/1/7
360免费WiFi,系统,1954941,246651750,245318569,1333181,1904544.286,2018/1/7
美图秀秀,摄影,1977,408414359,407549276,865083,1235832.857,2018/1/7
微博,阅读,2012,689583368,687642513,1940855,2772650,2018/1/7
咪咕音乐,视频,201224,81296155,80634412,661743,945347.1429,2018/1/7
UC浏览器,系统,2058,682860588,681159084,1701504,2430720,2018/1/7
腾讯视频,视频,2087,435556620,432683988,2872632,4103760,2018/1/7
QQ邮箱,办公商务,209310,131297981,130743707,554274,791820,2018/1/7
唯品会,购物,21972,100779584,100097081,682503,975004.2857,2018/1/7
中华万年历日历,工具,2272,144522988,144175684,347304,496148.5714,2018/1/7
美颜相机,摄影,229226,174452309,173766289,686020,980028.5714,2018/1/7
360超级ROOT-深度优化手机,工具,2304476,156784385,156270336,514049,734355.7143,2018/1/7
喜马拉雅FM,视频,236026,88417828,88141380,276448,394925.7143,2018/1/7
驾考宝典,教育学习,2378,113416929,112963163,453766,648237.1429,2018/1/7
随手电筒,工具,246564,96123471,96086376,37095,52992.85714,2018/1/7
单机斗地主-不占流量,游戏,263710,198528853,198006379,522474,746391.4286,2018/1/7
网易新闻,阅读,2744,89436905,89017730,419175,598821.4286,2018/1/7
相机360,摄影,2747,104394374,104335403,58971,84244.28571,2018/1/7
爱奇艺,视频,2751,564941175,561980450,2960725,4229607.143,2018/1/7
书旗小说,阅读,2926,132383225,132098132,285093,407275.7143,2018/1/7
网易有道词典,教育学习,2927,191343069,191095570,247499,353570,2018/1/7
携程旅行,出行,2947,134048173,133482500,565673,808104.2857,2018/1/7
花椒直播-美颜椒友疯狂卖萌,社交,2981222,118161573,116805735,1355838,1936911.429,2018/1/7
王者荣耀,游戏,3073428,168909031,163608728,5300303,7571861.429,2018/1/7
快手,视频,3536,145083074,141996794,3086280,4408971.429,2018/1/7
手机淘宝,育儿母婴,3570,877830194,874390266,3439928,4914182.857,2018/1/7
ES文件浏览器,系统,3571,90610710,90544395,66315,94735.71429,2018/1/7
优酷,视频,3581,777903432,775617966,2285466,3264951.429,2018/1/7
蔚蓝小说,阅读,3885739,35105505,30676832,4428673,6326675.714,2018/1/7
小说,阅读,3894208,21929908,16915383,5014525,7163607.143,2018/1/7
免费小说,阅读,3937914,7081953,1962242,5119711,7313872.857,2018/1/7
YY,视频,4067,113960034,113232288,727746,1039637.143,2018/1/7
土豆视频,视频,4107,113246980,113090791,156189,223127.1429,2018/1/7
途牛旅游,出行,43299,144814458,144586721,227737,325338.5714,2018/1/7
酷狗音乐,视频,433,1128850193,1125062186,3788007,5411438.571,2018/1/7
多米音乐,视频,44,97112902,96980590,132312,189017.1429,2018/1/7
QQ音乐,视频,4498,137120239,135531538,1588701,2269572.857,2018/1/7
大众点评,生活服务,4674,170856230,170511094,345136,493051.4286,2018/1/7
陌陌,社交,48,242075547,241475449,600098,857282.8571,2018/1/7
蜻蜓FM,视频,51178,82182888,81945082,237806,339722.8571,2018/1/7
我查查,工具,537,160543812,160509406,34406,49151.42857,2018/1/7
微信,社交,5427,754534183,747190189,7343994,10491420,2018/1/7
58同城,便捷生活,5576,85901586,85470272,431314,616162.8571,2018/1/7
聚力视频,视频,5632,273673558,273273812,399746,571065.7143,2018/1/7
天气通,工具,6209,93783255,93720801,62454,89220,2018/1/7
谷歌拼音,系统,6224,126386249,126303980,82269,117527.1429,2018/1/7
乐视视频,视频,6276,256917264,256597524,319740,456771.4286,2018/1/7
谷歌Gmail,办公商务,6411,92766450,92657825,108625,155178.5714,2018/1/7
驾校一点通,教育学习,6533,36873748,36811856,61892,88417.14286,2018/1/7
咪咕阅读,阅读,6536,119743610,117091714,2651896,3788422.857,2018/1/7
飞信,社交,7372,94941106,94917489,23617,33738.57143,2018/1/7
百度地图,出行,7655,572204699,570783778,1420921,2029887.143,2018/1/7
植物大战僵尸2高清版,游戏,771431,214940217,214117457,822760,1175371.429,2018/1/7
360手机卫士-一键连免费wifi,系统,77208,1892042402,1884180433,7861969,11231384.29,2018/1/7
360影视大全,视频,778702,417007981,415332477,1675504,2393577.143,2018/1/7
QQ,社交,7953,787007075,784969309,2037766,2911094.286,2018/1/7
华为手机文件管理器,办公商务,796062,101822731,100920278,902453,1289218.571,2018/1/7
QQ空间,社交,8015,133079670,132855944,223726,319608.5714,2018/1/7
ogle 文字转语音,系统,885077,118608874,118550192,58682,83831.42857,2018/1/7
WiFi万能钥匙,系统,88761,982822998,977458435,5364563,7663661.429,2018/1/7
HP Print Service 插件,系统,890932,112572496,112467432,105064,150091.4286,2018/1/7
360天气,工具,92235,118565839,118495264,70575,100821.4286,2018/1/7
中国建设银行,理财,9347,105006312,103984293,1022019,1460027.143,2018/1/7
去哪儿旅行,出行,944,120993638,120531684,461954,659934.2857,2018/1/7
360浏览器,系统,95487,657810841,653766424,4044417,5777738.571,2018/1/7
铃声多多,视频,111237,206335167,205969814,365353,782899.2857,2018/2/4
唱吧,视频,125088,110184220,110083914,100306,214941.4286,2018/2/4
酷我音乐,视频,1656,407000693,406219567,781126,1673841.429,2018/2/4
咪咕音乐,视频,201224,85293746,82637847,2655899,5691212.143,2018/2/4
酷狗音乐,视频,433,1132170386,1129568500,2601886,5575470,2018/2/4
多米音乐,视频,44,97183765,97136876,46889,100476.4286,2018/2/4
QQ音乐,视频,4498,139219409,137631894,1587515,3401817.857,2018/2/4
蜻蜓FM,视频,51178,82375768,82261919,113849,243962.1429,2018/2/4
360手机助手,工具,100084,272937229,272795297,141932,202760,2018/4/8
人民日报,阅读,101273,86544000,86533614,10386,14837.14286,2018/4/8
风行视频,视频,101594,92609619,92582822,26797,38281.42857,2018/4/8
作业帮,教育学习,1027306,79517168,78270758,1246410,1780585.714,2018/4/8
高德地图,出行,1038,469772575,468097701,1674874,2392677.143,2018/4/8
手电筒,工具,1066354,104802501,104794026,8475,12107.14286,2018/4/8
美团,便捷生活,1068,318070870,317330496,740374,1057677.143,2018/4/8
QQ浏览器,系统,1079,444853661,443613616,1240045,1771492.857,2018/4/8
阿里星球,视频,1088,330124646,330120347,4299,6141.428571,2018/4/8
铃声多多,视频,111237,208050052,207623380,426672,609531.4286,2018/4/8
掌阅iReader,阅读,1152,173483618,173326882,156736,223908.5714,2018/4/8
讯飞输入法,社交,1167,344798868,343932586,866282,1237545.714,2018/4/8
百度视频,视频,12272,165139837,165076072,63765,91092.85714,2018/4/8
Flipboard,阅读,123565,113753650,113628868,124782,178260,2018/4/8
唱吧,视频,125088,110474610,110393857,80753,115361.4286,2018/4/8
今日头条,视频,141843,342657135,,,,2018/4/8
墨迹天气,工具,1433,425380815,424634892,745923,1065604.286,2018/4/8
360桌面,系统,1438,261502627,261449830,52797,75424.28571,2018/4/8
鲁大师,系统,147287,97177170,96502776,674394,963420,2018/4/8
三星打印服务插件,系统,1557729,114976872,114877304,99568,142240,2018/4/8
360省电王,系统,1569,197436507,197349961,86546,123637.1429,2018/4/8
搜狐视频,视频,1586,234657518,234410863,246655,352364.2857,2018/4/8
手机京东,育儿母婴,1588,170489110,169455519,1033591,1476558.571,2018/4/8
开心消消乐,游戏,1625930,420838390,420102354,736036,1051480,2018/4/8
酷我音乐,视频,1656,410190403,409505966,684437,977767.1429,2018/4/8
360清理大师,系统,1781604,194523357,193185265,1338092,1911560,2018/4/8
搜狐新闻,阅读,1849,97850501,97707400,143101,204430,2018/4/8
滴滴出行,出行,185732,152856202,152082740,773462,1104945.714,2018/4/8
平安普惠,理财,1937214,134740034,110088153,24651881,35216972.86,2018/4/8
支付宝,理财,1939,689954979,688999398,955581,1365115.714,2018/4/8
腾讯新闻,阅读,19467,320498370,319547597,950773,1358247.143,2018/4/8
360免费WiFi,系统,1954941,251492178,250979850,512328,731897.1429,2018/4/8
美图秀秀,摄影,1977,411431193,410853486,577707,825295.7143,2018/4/8
微博,阅读,2012,695878205,694854720,1023485,1462121.429,2018/4/8
咪咕音乐,视频,201224,92244078,90462342,1781736,2545337.143,2018/4/8
UC浏览器,系统,2058,689912214,688922557,989657,1413795.714,2018/4/8
腾讯视频,视频,2087,447657251,445071932,2585319,3693312.857,2018/4/8
QQ邮箱,办公商务,209310,133059571,132625392,434179,620255.7143,2018/4/8
唯品会,购物,21972,103442542,103079073,363469,519241.4286,2018/4/8
中华万年历日历,工具,2272,146113926,145858836,255090,364414.2857,2018/4/8
美颜相机,摄影,229226,177132571,176713011,419560,599371.4286,2018/4/8
360超级ROOT-深度优化手机,工具,2304476,157772686,157648852,123834,176905.7143,2018/4/8
喜马拉雅FM,视频,236026,90181657,89816285,365372,521960,2018/4/8
驾考宝典,教育学习,2378,115345958,114747809,598149,854498.5714,2018/4/8
随手电筒,工具,246564,96257353,96235246,22107,31581.42857,2018/4/8
单机斗地主-不占流量,游戏,263710,200195877,199958032,237845,339778.5714,2018/4/8
网易新闻,阅读,2744,90375409,,,,2018/4/8
相机360,摄影,2747,104592860,104561358,31502,45002.85714,2018/4/8
爱奇艺,视频,2751,576736983,574656454,2080529,2972184.286,2018/4/8
书旗小说,阅读,2926,133559559,133358616,200943,287061.4286,2018/4/8
网易有道词典,教育学习,2927,192319263,192138064,181199,258855.7143,2018/4/8
携程旅行,出行,2947,135805183,135466140,339043,484347.1429,2018/4/8
花椒直播-美颜椒友疯狂卖萌,社交,2981222,120962025,120688842,273183,390261.4286,2018/4/8
王者荣耀,游戏,3073428,191230485,187114920,4115565,5879378.571,2018/4/8
快手,视频,3536,156932450,154969972,1962478,2803540,2018/4/8
手机淘宝,育儿母婴,3570,892751529,891255856,1495673,2136675.714,2018/4/8
ES文件浏览器,系统,3571,90830247,90802589,27658,39511.42857,2018/4/8
优酷,视频,3581,786118562,784788532,1330030,1900042.857,2018/4/8
蔚蓝小说,阅读,3885739,108547855,93534280,15013575,21447964.29,2018/4/8
小说,阅读,3894208,76161734,66799866,9361868,13374097.14,2018/4/8
免费小说,阅读,3937914,76436936,67821776,8615160,12307371.43,2018/4/8
电子书,阅读,3963018,68057912,56837513,11220399,16029141.43,2018/4/8
有声小说,阅读,3963330,89388573,79217194,10171379,14530541.43,2018/4/8
YY,视频,4067,116887083,116295776,591307,844724.2857,2018/4/8
土豆视频,视频,4107,113752646,113674310,78336,111908.5714,2018/4/8
途牛旅游,出行,43299,145352244,145272296,79948,114211.4286,2018/4/8
酷狗音乐,视频,433,1139059269,1137322737,1736532,2480760,2018/4/8
多米音乐,视频,44,97324322,97298778,25544,36491.42857,2018/4/8
QQ音乐,视频,4498,144112566,143151787,960779,1372541.429,2018/4/8
大众点评,生活服务,4674,172246398,172040159,206239,294627.1429,2018/4/8
陌陌,社交,48,243898755,243560594,338161,483087.1429,2018/4/8
蜻蜓FM,视频,51178,87973973,86198831,1775142,2535917.143,2018/4/8
我查查,工具,537,160885561,160801015,84546,120780,2018/4/8
微信,社交,5427,796639930,790949527,5690403,8129147.143,2018/4/8
58同城,便捷生活,5576,88046257,87725161,321096,458708.5714,2018/4/8
聚力视频,视频,5632,274850293,274706617,143676,205251.4286,2018/4/8
天气通,工具,6209,94146962,94086215,60747,86781.42857,2018/4/8
谷歌拼音,系统,6224,126699140,126616656,82484,117834.2857,2018/4/8
乐视视频,视频,6276,257813962,257661732,152230,217471.4286,2018/4/8
谷歌Gmail,办公商务,6411,93238284,93161162,77122,110174.2857,2018/4/8
驾校一点通,教育学习,6533,73817654,63493291,10324363,14749090,2018/4/8
咪咕阅读,阅读,6536,128897137,127196585,1700552,2429360,2018/4/8
飞信,社交,7372,95018746,95007224,11522,16460,2018/4/8
百度地图,出行,7655,577430846,576566099,864747,1235352.857,2018/4/8
植物大战僵尸2高清版,游戏,771431,217950144,217484252,465892,665560,2018/4/8
360手机卫士-一键连免费wifi,系统,77208,1919536168,1916172016,3364152,4805931.429,2018/4/8
360影视大全,视频,778702,422930434,421837252,1093182,1561688.571,2018/4/8
QQ,社交,7953,795507551,794309267,1198284,1711834.286,2018/4/8
华为手机文件管理器,办公商务,796062,104899050,104413648,485402,693431.4286,2018/4/8
QQ空间,社交,8015,133758554,133653487,105067,150095.7143,2018/4/8
ogle 文字转语音,系统,885077,118811024,118781103,29921,42744.28571,2018/4/8
WiFi万能钥匙,系统,88761,1002918309,999740430,3177879,4539827.143,2018/4/8
HP Print Service 插件,系统,890932,113226854,113145955,80899,115570,2018/4/8
360天气,工具,92235,119204365,119099808,104557,149367.1429,2018/4/8
中国建设银行,理财,9347,108794379,107990818,803561,1147944.286,2018/4/8
去哪儿旅行,出行,944,122866450,122359481,506969,724241.4286,2018/4/8
360浏览器,系统,95487,670195575,667028935,3166640,4523771.429,2018/4/8
360手机助手,工具,100084,273118543,272963236,155307,221867.1429,2018/5/6
人民日报,阅读,101273,86556318,86546561,9757,13938.57143,2018/5/6
风行视频,视频,101594,92642198,92621770,20428,29182.85714,2018/5/6
