类别,app个数,月下载量变化,日期
便捷生活,2865,42152344.29,2018年1月
出行,3429,20810054.29,2018年1月
办公商务,3187,20466758.57,2018年1月
工具,7631,101801688.6,2018年1月
摄影,2728,13833915.71,2018年1月
教育学习,4679,19589861.43,2018年1月
旅游酒店,1810,1587030,2018年1月
游戏,3551,64880801.43,2018年1月
理财,4828,186304771.4,2018年1月
生活服务,4413,16529048.57,2018年1月
社交,3459,55249237.14,2018年1月
系统,6634,55661348.57,2018年1月
育儿母婴,2301,19228942.86,2018年1月
视频,2794,92378807.14,2018年1月
购物,2637,15382240,2018年1月
运动健康,1942,1852360,2018年1月
阅读,2819,74953572.86,2018年1月
音乐,713,458472.8571,2018年1月
便捷生活,4,6432.857143,2018年2月
出行,2,2607.857143,2018年2月
办公商务,1,113.5714286,2018年2月
工具,73,49538.57143,2018年2月
摄影,3,4026698.571,2018年2月
教育学习,7,15662.14286,2018年2月
生活服务,9,17271.42857,2018年2月
社交,9,559.2857143,2018年2月
系统,57,1605122.143,2018年2月
育儿母婴,1,235.7142857,2018年2月
视频,611,24820446.43,2018年2月
阅读,5,962.1428571,2018年2月
音乐,319,203685,2018年2月
便捷生活,2789,22596121.43,2018年4月
出行,3549,32844088.57,2018年4月
办公商务,3385,18632255.71,2018年4月
工具,7578,105493248.6,2018年4月
摄影,2881,9546625.714,2018年4月
教育学习,4949,34995257.14,2018年4月
旅游酒店,1881,5165914.286,2018年4月
游戏,2271,46661660,2018年4月
理财,5084,235385611.4,2018年4月
生活服务,4813,16383907.14,2018年4月
社交,3569,34836355.71,2018年4月
系统,6794,37545688.57,2018年4月
育儿母婴,2474,10696724.29,2018年4月
视频,2850,50883135.71,2018年4月
购物,2815,13555594.29,2018年4月
运动健康,2044,911805.7143,2018年4月
阅读,2839,232661235.7,2018年4月
音乐,702,4582102.857,2018年4月
便捷生活,2785,28441534.29,2018年5月
出行,3551,42234790,2018年5月
办公商务,3367,21712435.71,2018年5月
工具,7589,83855334.29,2018年5月
摄影,2843,11641070,2018年5月
教育学习,4897,70112487.14,2018年5月
旅游酒店,1892,5413817.143,2018年5月
游戏,2307,47223084.29,2018年5月
理财,5036,296867975.7,2018年5月
生活服务,4863,17824427.14,2018年5月
社交,3573,45476484.29,2018年5月
系统,6734,42192368.57,2018年5月
育儿母婴,2435,15356967.14,2018年5月
视频,2859,69998620,2018年5月
购物,2778,31937072.86,2018年5月
运动健康,2036,601962.8571,2018年5月
阅读,2872,162040462.9,2018年5月
音乐,701,3318998.571,2018年5月
便捷生活,2760,40079338.57,2018年6月
出行,3579,23803490,2018年6月
办公商务,3405,19560130,2018年6月
工具,7629,119322715.7,2018年6月
摄影,2874,13815437.14,2018年6月
教育学习,4934,120424030,2018年6月
旅游酒店,1888,1429570,2018年6月
游戏,2385,42859318.57,2018年6月
理财,5194,341219358.6,2018年6月
生活服务,4899,22576341.43,2018年6月
社交,3652,45871918.57,2018年6月
系统,6901,39940852.86,2018年6月
育儿母婴,2455,14745868.57,2018年6月
视频,2904,59298630,2018年6月
购物,2860,12364737.14,2018年6月
运动健康,2048,1281528.571,2018年6月
阅读,2954,300176337.1,2018年6月
音乐,706,2788434.286,2018年6月
便捷生活,2762,37833047.14,2018年7月
出行,3581,16686798.21,2018年7月
办公商务,3390,14542434.64,2018年7月
工具,7611,78003012.86,2018年7月
摄影,2889,13277274.64,2018年7月
教育学习,4904,83887069.29,2018年7月
旅游酒店,1878,1606527.857,2018年7月
游戏,3909,56704302.86,2018年7月
理财,4545,327887952.9,2018年7月
生活服务,4908,17883288.21,2018年7月
社交,3624,59139832.5,2018年7月
系统,6752,45691534.29,2018年7月
育儿母婴,2435,15583908.21,2018年7月
视频,2931,56972034.64,2018年7月
购物,2842,15440124.64,2018年7月
运动健康,2067,1743428.571,2018年7月
阅读,2936,115606722.9,2018年7月
音乐,768,2773159.286,2018年7月
便捷生活,2741,28868168.57,2018年8月
出行,3635,16080042.86,2018年8月
办公商务,3479,16438088.57,2018年8月
工具,7715,93865792.86,2018年8月
摄影,2925,14013584.29,2018年8月
教育学习,5015,40196002.86,2018年8月
旅游酒店,1900,2612270,2018年8月
游戏,5439,56833667.14,2018年8月
理财,4684,281590601.4,2018年8月
生活服务,5096,19414790,2018年8月
社交,3707,43015165.71,2018年8月
系统,7036,63472908.57,2018年8月
育儿母婴,2492,14914947.14,2018年8月
视频,2998,54000170,2018年8月
购物,2923,20387814.29,2018年8月
运动健康,2081,794047.1429,2018年8月
阅读,3021,158927771.4,2018年8月
音乐,803,3844394.286,2018年8月
便捷生活,2166,24855562.5,2018年9月
出行,3491,14035893.21,2018年9月
办公商务,3233,18439585.71,2018年9月
工具,6366,104998017.9,2018年9月
摄影,2777,10553995.71,2018年9月
教育学习,3984,22577136.43,2018年9月
旅游酒店,1809,2892176.786,2018年9月
游戏,1728,20561280,2018年9月
理财,3272,270493978.9,2018年9月
生活服务,4723,15577122.86,2018年9月
社交,2976,36253846.07,2018年9月
系统,5558,65053713.21,2018年9月
育儿母婴,1837,15384628.93,2018年9月
视频,2751,49090068.21,2018年9月
购物,2415,27850584.64,2018年9月
运动健康,2053,1649464.286,2018年9月
阅读,2653,231708489.6,2018年9月
音乐,727,4384323.214,2018年9月
便捷生活,2167,33844337.14,2018年10月
出行,3589,9740700,2018年10月
办公商务,3441,31197887.14,2018年10月
工具,6431,123143198.6,2018年10月
摄影,2914,10190130,2018年10月
教育学习,4401,31028995.71,2018年10月
旅游酒店,1872,3895812.857,2018年10月
游戏,1830,17932581.43,2018年10月
理财,3516,245109252.9,2018年10月
生活服务,4909,23137915.71,2018年10月
社交,3138,40041570,2018年10月
系统,5642,77151904.29,2018年10月
