name,2018-11-16,2018-11-17,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07
name,2018-11-16,2018-11-17,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07
难以相信,"0,65498","0,65499","0,65507",0,"0,65514",0,0,"0,65524","0,65524","0,65526","0,65531","0,65535",0,0,"0,65544","0,65545","0,65548","0,65552","0,65555"
教师节快乐,"0,69618","0,69620","0,69630","0,69633",0,0,0,"0,69660","0,69660","0,69661","0,69664","0,69666",0,0,"0,69679","0,69680","0,69684","0,69691","0,69694"
玩在日本,"0,362174","0,362243","0,363981","0,364098","0,364197",0,0,"0,366676","0,367028","0,367451","0,367865","0,368280",0,0,"0,369731","0,369820","0,369953","0,370036","0,370144"
地铁大作战,"0,100433","0,100452","0,100611",0,"0,100695",0,0,"0,100806","0,100843","0,100891","0,100933","0,100995",0,0,"0,101094","0,101130","0,101185","0,101219","0,101252"
爱就爱了,"0,67999","0,68002","0,68025","0,68027",0,0,0,"0,68048","0,68052","0,68054","0,68057","0,68061",0,0,"0,68076","0,68079","0,68083","0,68086","0,68091"
特长爱好,"0,290381","0,290415","0,291425","0,291511","0,291541",0,0,"0,291674","0,291709","0,291743","0,291780","0,292509",0,0,"0,292729","0,292751","0,292796","0,292826","0,293199"
注重细节,"0,56582","0,56584","0,56597","0,56599",0,0,0,"0,56616","0,56618","0,56620","0,56622","0,56626",0,0,"0,56637","0,56639","0,56640","0,56641","0,56644"
勤奋,"0,64534","0,64535","0,64547",0,0,0,0,"0,64573","0,64575","0,64576","0,64577","0,64580",0,0,"0,64592","0,64594","0,64597","0,64600","0,64604"
用英语优雅怼人,"0,495590","0,495781","0,496052","0,496084",0,0,0,"0,497743","0,497998","0,498671","0,498874","0,498913",0,0,"0,499099","0,499138","0,500070","0,500116","0,500178"
如何请求帮助,"0,1119632","0,1120918","0,1129989","0,1132304","0,1134002",0,0,"0,1139763","0,1141251","0,1142978","0,1144874","0,1146779",0,0,"0,1152413","0,1153570","0,1155441","0,1156814","0,1158647"
和家人朋友闲聊,"0,223444","0,223452","0,223500","0,223521","0,223534",0,0,"0,223585","0,223599","0,223613","0,223625","0,223639",0,0,"0,223686","0,223691","0,223705","0,223719","0,223736"
善良是种习惯,"0,85631","0,85637","0,85677","0,85685","0,85689",0,0,"0,85712","0,85716","0,85726","0,85735","0,85743",0,0,"0,85778","0,85780","0,85790","0,85794","0,85805"
咖啡,"0,152460","0,152474","0,152596","0,152635","0,152668",0,0,"0,152752","0,152768","0,152787","0,152810","0,152835",0,0,"0,152946","0,152957","0,152989","0,153015","0,153044"
热门电影 1,"0,110331","0,110403","0,110944","0,111069","0,111159",0,0,"0,111527","0,111603","0,111744","0,111832","0,111950",0,0,"0,112324","0,112394","0,112513","0,112608","0,112712"
国家与国籍 2,"0,253506","0,253521","0,253610","0,253643","0,253661",0,0,"0,253753","0,253782","0,253806","0,253835","0,253866",0,0,"0,253947","0,253971","0,254002","0,254033","0,254061"
热门电影 3,"0,119613","0,119644","0,119936","0,120013","0,120078",0,0,"0,120289","0,120349","0,120420","0,120485","0,120546",0,0,"0,120757","0,120807","0,120879","0,120924","0,120985"
史无前例的好歌,"0,373990","0,374025","0,374231","0,374264","0,374301",0,0,"0,374486","0,374535","0,374553","0,374608","0,374652",0,0,"0,374815","0,374836","0,374881","0,374912","0,374941"
我推断…,"0,111326","0,111332","0,111404","0,111420","0,111431",0,0,"0,111506","0,111516","0,111531","0,111556","0,111572",0,0,"0,111622","0,111634","0,111660","0,111681","0,111708"
愉快的周末,"0,110873","0,110901","0,112413","0,112474","0,112531",0,0,"0,112733","0,112784","0,112831","0,112877","0,112937",0,0,"0,114025","0,114065","0,114129","0,114178","0,114240"
七彩之晕,"0,343828","0,343841","0,343972","0,343999","0,344027",0,0,"0,344113","0,344143","0,344159","0,344180","0,344202",0,0,"0,344297","0,344324","0,344346","0,344364","0,344384"
史无前例的演出,"0,131003","0,131009","0,131045","0,131056","0,131070",0,0,"0,131104","0,131110","0,131118","0,131124","0,131134",0,0,"0,131169","0,131173","0,131187","0,131192","0,131205"
烹制汤羹,"0,107444","0,107490","0,107818","0,107920","0,108011",0,0,"0,108378","0,108486","0,108541","0,108633","0,108730",0,0,"0,109161","0,109271","0,109430","0,109557","0,109704"
服务就餐,"0,293576","0,293601","0,293777","0,293833","0,293864",0,0,"0,294016","0,294074","0,294097","0,294141","0,294241",0,0,"0,294405","0,294431","0,294502","0,294581","0,294627"
简单乘法,"0,229811","0,229820","0,229875","0,229889","0,229901",0,0,"0,229956","0,229978","0,229989","0,229999","0,230022",0,0,"0,230073","0,230081","0,230088","0,230097","0,230108"
