name,2018-11-16,2018-11-17,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07
name,2018-11-16,2018-11-17,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07
难以相信,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
教师节快乐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
玩在日本,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
地铁大作战,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
爱就爱了,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特长爱好,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
注重细节,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
勤奋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
用英语优雅怼人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
如何请求帮助,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和家人朋友闲聊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
善良是种习惯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
咖啡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热门电影 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
国家与国籍 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热门电影 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
史无前例的好歌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
我推断…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愉快的周末,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
七彩之晕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
史无前例的演出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
烹制汤羹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
服务就餐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
简单乘法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50个州 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
故事,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每周新闻 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奥斯卡季,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
远走高飞,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你的职业有趣吗？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美国的教育,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出去喝咖啡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
名著,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
下班后,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
买东西,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
因与果,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有史以来最烂的电影,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
世界地球日,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
求同存异,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美国餐馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
父辈的传承,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
转移话题,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
迫不得已,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未解神秘空难,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
现在几点了？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
周末过得如何？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三只小猪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
你觉得怎么样？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
欢迎使用英语流利说,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每周新闻 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
泰国,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
选择,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
观光游览,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
学开车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小诗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
办杂事,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
买衣服,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
思念是一种病,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
旅行的时间,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每周新闻 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
驾车挑战,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
计算机部件,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在美国过新年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
带外国朋友旅游,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情人节 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
味道如何？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每周新闻 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50个州 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有多少？,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
简单除法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50个州 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每周新闻 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未来旅行计划,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50个州 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新年快乐！,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
专题新闻：中国登月,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日常习惯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
太阳是很热的,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
太空旅行,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
童年的回忆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
教室里的故事,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
再次核实,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
导演和演员,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神探夏洛克,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每周新闻 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电视节目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
古代文明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
方位介词,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中东美食,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反抗的历史,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
企业失败案例,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
情感,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加拿大省份,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公共服务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
请坐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
当你出门的时候,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日常用钱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每一天我……,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
基础会计,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美国购物,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
了不起的盖茨比,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
罗马尼亚金矿,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
斯坦利·库布里克,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
